ingredient name,ttd id,gene ID,gene symbol
Theophylline,D0F8RA,3646,EIF3E
Theophylline,D0F8RA,57724,EPG5
Theophylline,D0F8RA,9212,AURKB
Theophylline,D0F8RA,348094,ANKDD1A
Theophylline,D0F8RA,57223,PPP4R3B
Theophylline,D0F8RA,83451,ABHD11
Theophylline,D0F8RA,920,CD4
Theophylline,D0F8RA,23095,KIF1B
Theophylline,D0F8RA,54482,TRMT13
Theophylline,D0F8RA,3596,IL13
Theophylline,D0F8RA,124454,EARS2
Theophylline,D0F8RA,54520,CCDC93
Theophylline,D0F8RA,84172,POLR1B
Theophylline,D0F8RA,641,BLM
Theophylline,D0F8RA,80184,CEP290
Theophylline,D0F8RA,10993,SDS
Theophylline,D0F8RA,2140,EYA3
Theophylline,D0F8RA,81554,RCC1L
Theophylline,D0F8RA,4076,CAPRIN1
Theophylline,D0F8RA,79161,TMEM243
Theophylline,D0F8RA,836,CASP3
Theophylline,D0F8RA,11035,RIPK3
Theophylline,D0F8RA,6209,RPS15
Theophylline,D0F8RA,171568,POLR3H
Theophylline,D0F8RA,9518,GDF15
Theophylline,D0F8RA,5791,PTPRE
Theophylline,D0F8RA,3306,HSPA2
Theophylline,D0F8RA,142,PARP1
Theophylline,D0F8RA,11285,B4GALT7
Theophylline,D0F8RA,3748,KCNC3
Theophylline,D0F8RA,5356,PLRG1
Theophylline,D0F8RA,79682,CENPU
Theophylline,D0F8RA,2946,GSTM2
Theophylline,D0F8RA,23180,RFTN1
Theophylline,D0F8RA,10254,STAM2
Theophylline,D0F8RA,81502,HM13
Theophylline,D0F8RA,54822,TRPM7
Theophylline,D0F8RA,10376,TUBA1B
Theophylline,D0F8RA,59272,ACE2
Theophylline,D0F8RA,8682,PEA15
Theophylline,D0F8RA,81570,CLPB
Theophylline,D0F8RA,10097,ACTR2
Theophylline,D0F8RA,1118,CHIT1
Theophylline,D0F8RA,64343,AZI2
Theophylline,D0F8RA,1437,CSF2
Theophylline,D0F8RA,440145,MZT1
Theophylline,D0F8RA,115708,TRMT61A
Theophylline,D0F8RA,5142,PDE4B
Theophylline,D0F8RA,857,CAV1
Theophylline,D0F8RA,3684,ITGAM
Theophylline,D0F8RA,6916,TBXAS1
Theophylline,D0F8RA,26269,FBXO8
Theophylline,D0F8RA,51701,NLK
Theophylline,D0F8RA,1968,EIF2S3
Theophylline,D0F8RA,6487,ST3GAL3
Theophylline,D0F8RA,5883,RAD9A
Theophylline,D0F8RA,89941,RHOT2
Theophylline,D0F8RA,411,ARSB
Theophylline,D0F8RA,5144,PDE4D
Theophylline,D0F8RA,1544,CYP1A2
Theophylline,D0F8RA,83695,RHNO1
Theophylline,D0F8RA,6940,ZNF354A
Theophylline,D0F8RA,11147,ANKRD13C-DT
Theophylline,D0F8RA,23646,PLD3
Theophylline,D0F8RA,6774,STAT3
Theophylline,D0F8RA,7173,TPO
Theophylline,D0F8RA,81608,FIP1L1
Theophylline,D0F8RA,7498,XDH
Theophylline,D0F8RA,6745,SSR1
Theophylline,D0F8RA,9847,C2CD5
Theophylline,D0F8RA,727897,MUC5B
Theophylline,D0F8RA,4843,NOS2
Theophylline,D0F8RA,8202,NCOA3
Theophylline,D0F8RA,8805,TRIM24
Theophylline,D0F8RA,3094,HINT1
Theophylline,D0F8RA,3689,ITGB2
Theophylline,D0F8RA,60685,ZFAND3
Theophylline,D0F8RA,331,XIAP
Theophylline,D0F8RA,10204,NUTF2
Theophylline,D0F8RA,55119,PRPF38B
Theophylline,D0F8RA,3189,HNRNPH3
Theophylline,D0F8RA,8100,IFT88
Theophylline,D0F8RA,5598,MAPK7
Theophylline,D0F8RA,4708,NDUFB2
Theophylline,D0F8RA,3553,IL1B
Theophylline,D0F8RA,57107,PDSS2
Theophylline,D0F8RA,8434,RECK
Theophylline,D0F8RA,11332,ACOT7
Theophylline,D0F8RA,10025,MED16
Theophylline,D0F8RA,22869,ZNF510
Theophylline,D0F8RA,2744,GLS
Theophylline,D0F8RA,7991,TUSC3
Theophylline,D0F8RA,9942,XYLB
Theophylline,D0F8RA,5136,PDE1A
Theophylline,D0F8RA,222236,NAPEPLD
Theophylline,D0F8RA,3667,IRS1
Theophylline,D0F8RA,7124,TNF
Theophylline,D0F8RA,57587,CFAP97
Theophylline,D0F8RA,5191,PEX7
Theophylline,D0F8RA,58493,INIP
Theophylline,D0F8RA,1571,CYP2E1
Theophylline,D0F8RA,3066,HDAC2
Theophylline,D0F8RA,51268,PIPOX
Theophylline,D0F8RA,91647,ATPAF2
Theophylline,D0F8RA,51569,UFM1
Theophylline,D0F8RA,3364,HUS1
Theophylline,D0F8RA,23530,NNT
Theophylline,D0F8RA,29957,SLC25A24
Theophylline,D0F8RA,9063,PIAS2
Theophylline,D0F8RA,7940,LST1
Theophylline,D0F8RA,8654,PDE5A
Theophylline,D0F8RA,3995,FADS3
Theophylline,D0F8RA,9274,BCL7C
Theophylline,D0F8RA,59338,PLEKHA1
Theophylline,D0F8RA,56996,SLC12A9
Theophylline,D0F8RA,81573,ANKRD13C
Theophylline,D0F8RA,138151,NACC2
Theophylline,D0F8RA,100,ADA
Theophylline,D0F8RA,613,BCR
Theophylline,D0F8RA,3984,LIMK1
Theophylline,D0F8RA,3425,IDUA
Theophylline,D0F8RA,22879,MON1B
Theophylline,D0F8RA,148137,PROSER3
Theophylline,D0F8RA,7172,TPMT
Theophylline,D0F8RA,23327,NEDD4L
Theophylline,D0F8RA,4090,SMAD5
Theophylline,D0F8RA,3665,IRF7
Theophylline,D0F8RA,10413,YAP1
Theophylline,D0F8RA,8621,CDK13
Theophylline,D0F8RA,5578,PRKCA
Theophylline,D0F8RA,405,ARNT
Theophylline,D0F8RA,147906,DACT3
Theophylline,D0F8RA,56061,UBFD1
Theophylline,D0F8RA,63826,SRR
Theophylline,D0F8RA,1827,RCAN1
Theophylline,D0F8RA,219402,MTIF3
Theophylline,D0F8RA,8662,EIF3B
Theophylline,D0F8RA,7597,ZBTB25
Theophylline,D0F8RA,79664,ICE2
Theophylline,D0F8RA,9047,SH2D2A
Theophylline,D0F8RA,30,ACAA1
Theophylline,D0F8RA,7157,TP53
Theophylline,D0F8RA,1508,CTSB
Theophylline,D0F8RA,55216,NKAPD1
Theophylline,D0F8RA,8841,HDAC3
Theophylline,D0F8RA,80254,CEP63
Theophylline,D0F8RA,65065,NBEAL1
Theophylline,D0F8RA,27429,HTRA2
Theophylline,D0F8RA,6566,SLC16A1
Theophylline,D0F8RA,7113,TMPRSS2
Theophylline,D0F8RA,23030,KDM4B
Theophylline,D0F8RA,7424,VEGFC
Theophylline,D0F8RA,7405,UVRAG
Theophylline,D0F8RA,9732,DOCK4
Theophylline,D0F8RA,1027,CDKN1B
Theophylline,D0F8RA,7267,TTC3
Theophylline,D0F8RA,817,CAMK2D
Theophylline,D0F8RA,2823,GPM6A
Theophylline,D0F8RA,1028,CDKN1C
Theophylline,D0F8RA,9529,BAG5
Theophylline,D0F8RA,23389,MED13L
Theophylline,D0F8RA,4353,MPO
Theophylline,D0F8RA,84910,TMEM87B
Theophylline,D0F8RA,2295,FOXF2
Theophylline,D0F8RA,1503,CTPS1
Theophylline,D0F8RA,9589,WTAP
Theophylline,D0F8RA,84077,C3orf20
Theophylline,D0F8RA,64864,RFX7
Theophylline,D0F8RA,2232,FDXR
Theophylline,D0F8RA,10443,N4BP2L2
Theophylline,D0F8RA,1739,DLG1
Theophylline,D0F8RA,5125,PCSK5
Theophylline,D0F8RA,8353,H3C6
Theophylline,D0F8RA,55312,RFK
Theophylline,D0F8RA,1368,CPM
Theophylline,D0F8RA,9615,GDA
Theophylline,D0F8RA,387338,NSUN4
Theophylline,D0F8RA,724102,SNHG4
Theophylline,D0F8RA,27109,DMAC2L
Theophylline,D0F8RA,1576,CYP3A4
Theophylline,D0F8RA,375,ARF1
Theophylline,D0F8RA,54940,OCIAD1
Theophylline,D0F8RA,5970,RELA
Theophylline,D0F8RA,23760,PITPNB
Theophylline,D0F8RA,6347,CCL2
Theophylline,D0F8RA,3549,IHH
Theophylline,D0F8RA,57821,CCDC181
